ID,English,Kashmiri
1,Akbar was abducted by two gunmen.,اکبر اوس دۄیو بٔندوٗق بردارو اغواہ کوٚرمُت
2,He has the ability to solve complex mathematical problems.,تٔمِس چھےٚ مُشکِل ریٲضی سوالن ہُنٛد جواب ژھانٛڈنٕچ صلٲحیت
3,Akbar was able to lift the suitcase.,اکبَرن ہیٚوک سوٗٹ کیس تُلِتھ
4,Akbar is the most able student in his class.,اکبر چُھ پنٛہٕ نِس کلاسس منٛز ساروٕے کھۄتہٕ زیادٕ قٲبِل
5,We were already aboard ship when he arrived.,أسۍ ٲسۍ تٔمۍ سٕنٛدِ یٕنہٕ برونٹھٕے جہازس منٛز سوار
6,I climbed aboard the yatch,بٕہ گوس ناوِ منز سَوار
7,"The plane crashed,killing all 150 passengers aboard.",جہاز گوو تباہ تٕہ تتھ منٛز سوار سٲری ۱۵٠ مُسافِر گٔی ہلاک
8,Our six members were aboard the aircraft.,سٲنۍ شےٚ نَفر ٲسۍ ہوٲیی جہازس منٛز سوار
9,I do not know his abode,مےٚٚ چھےٚ نہٕ تٔمۍ سٕنٛز روزنٕچ جاے پَتہ
10,It is a crime to abort the female fetus,مادٕ حمل اڈٕلیٛوٚک کرُن چُھ جُرُم
11,Peace talks had to be aborted.,امنٕچ کتھ باتھ پیٚیہِ اَڈٕوَتِہ ترٛاوٕنۍ
12,Some communities are against abortion.,کیٚنٛہہ طبقہٕ چھِ یٔڈ منٛز بچہٕ اڈٕلیٛوکھ کرنس خٕلاف
13,Mission that proved abortive was reported in the newspaper.,سہ مُہِم یُس ناکام سپدیٛیہ آیہ اخبارس دنہٕ
14,We will not talk about him.,أسۍ کَرو نہٕ تٔمِس مُتعلِق کتھ
15,Boys were sitting about in the park.,لٔڑکہٕ ٲسۍ پارکہِ منٛز ہُپٲرۍ یپٲرۍ بِہِتھ
16,She is about to finish her homework.,لگ بگ چھِ سہ گھرں باپتھ دنہٕ آمژ کٲم مۄکلاونس تیار
17,We will not complain about it any longer now.,اتھ مُتعلق کرو نہٕ وۄنۍ أسۍ شِکایت۔
18,I read a book about cricket.,مےٚ پٔر کِرکَٹَس مُتعلِق اکھ کِتاب
19,I dropped the pen somewhere about here.,مےٚ پیوٚو قلم کتہِ تانۍ ییٚتی اورٕ یور
20,Please fix a mirror above the wash basin.,مہربٲنی کٔرِتھ لٲگِو واش بیسنہِ پٮ۪ٹھ شیٖشہٕ
22,The water rose above the danger mark.,آب کھوٚت خطرٕ کہِ نِشانہٕ پیٚٹھۍ۔
23,The house has a thatched roof above.,مکانس چُھ پٮ۪ٹھٕ ژھییہ پَش
25,Please reply at the above mentioned address.,مہربانی کٔرِتھ دیٖو پیٚٹھٕ کنہِ دِنہٕ آمتِس پتہس پٮ۪ٹھ جواب
26,I read the abridged edition of Dickens`s `Oliver Twist`.,مےٚ پوٚر ڈِکنٛز سُنٛد “آلِور ٹُوِسٹُک“ مختصر ایٚڈِشن
27,He has relatives both in India and abroad.,تٔمِس چھِ رِشتہٕ دار ہِنٛدُستانس منٛز تہٕ پردیسس منٛز تہِ
28,There is a rumour abroad about you having a love affair,ژۄپٲرۍ چھےٚ چانہِ محبت آسنٕچ افوا
29,The conversation was brought to an abrupt end.,کتھ باتھ کٔرٕکھ اچانک برخاس
32,He ended his speech abruptly.,تٔمِۍ کوٚر ہنٛگتہٕ منٛگہٕ پنُن تقریر اختِتام
34,We shall not leave in his absence.,أسۍ نیرو نہٕ تٔمۍ سٕنٛزِ غٲر حٲضری منٛز
35,He is always absent from the class.,سُُہ چُھ ہمیشہٕ کَلاس منٛز غٲر حٲضر آسان
36,You cannot choose to absent yourself from the chemistry class.,ژٕ ہیٚکَکھ نہٕ کیٚمِسٹری کَلاسہٕ منٛز غٲر حٲضر روٗزِتھ
37,There is no absolute standard for beauty.,خوٗبصوٗتی ہِنٛدِ خٲطرٕ چُھ نہٕ کانٛہہ مُقرر معیار
38,Their belief in God is absolute.,خۄدایس پٮ۪ٹھ تِہُنٛد یٔقیٖن چُھ مُکمل
39,You are absolutely right.,ژٕ چُھکھ بِلکُل صٔحی
40,Dry sand absorbs water.,ہوٚچھ سٮ۪کھ چھےٚ آب شرٛپراوان
41,His business absorbs his time.,تٔمۍ سُنٛد کاربار چُھ تَس وقٕت کھٮ۪وان
42,I was totally absorbed in the novel.,بہٕ ٲسٕس ناولہِ منٛز پوٗرٕ پٲٹھۍ مَس گٔمٕژ
43,You are requested to present the abstract of your paper.,بَراے مہربٲنی کٔرِو پنٛنہِ پیپرُک خُلاصہٕ پیش
44,He is an abstract painter.,سُہ چُُھ اکھ تَصوُرٲتی رنٛگ ساز
46,Beauty and love are abstract.,خوٗبصوٗرتی تہٕ محبت چھِ تجریدی
47,He has an abstract notion to change the system.,تٔمِس چُھ نِظام بدلاونُک اَکھ خیٲلی نظریہٕ
49,Most novels are abstract.,زیادٕ تر ناولہٕ چھےٚ آسان تَصوُرٲتی
51,He was gazing at the lawn with an air of abstraction.,سُہ اوس باغس کُن وٕچھان مگر اوس خبر کتھ خیالس منٛز
53,That dress makes them look absurd.,یِمو پَلوَو سۭتۍ چھِ تِم باسان چٲرۍ
54,Child abuse is rampant in the world.,دُنیاہس منٛز چِھ بَچن سٔتۍ بدسلوکی دوہ پتھ دوہ بڈان
55,The opposition party hurled abuses on the ruling party.,مُخٲلِف جمٲژ کجہِ حُکُمرٲنی جمٲژ لٮ۪کہٕ
56,There is widespread abuse of energy resources.,توانٲیی ہِنٛدٮ۪ن وسٲیلن ہُنٛد چُھ بٔڑِس پیٚمانس پٮ۪ٹھ غلط اِستعمال گژھان
57,The rowdies abused the journalist for reporting about their anti-social activities.,لڑایہِ گَرٮ۪و ژارِ اخبٲری نُمٲیِنٛدن تِہنٛزٕ غٲر سمٲجی ہرکتہٕ بیان کرنہٕ خٲطرٕ لٮ۪کہِ
59,His knowledge is purely academic.,تٔمۍ سُنٛد عٔلِم چُھ محض تٔلیٖمی
60,Mr.Anand is quite an academic person.,آنٛند صٲب چُھ اکھ عٲلِم شخٕص
61,The Royal Academy of drama sponsored them.,تِٔمن چُھ ڈرٛامہ کہِ رایل اٮ۪کیٚڑمی اِمداد کوٚرمُت
63,The machine only accepts 1 Re. coin.,مِشیٖن چھےٚ صِرِف اکھ وَٹہٕ رۄپَے رَٹان
64,A cup of tea would be most acceptable.,اکھ چایہِ کَپ روزِہا زیادٕ قٲبلہِ قٔبوٗل
65,We have their acceptance on this issue as well.,تِہِنٛز منٛظوٗری چھےٚ اسہِ یتھ مسلس پٮ۪ٹھ تہِ
66,He was refused access to the hallway.,تٔمِس آو أنٛدرِمہِ وتہِ آمدورفت کرنس منٛع کرنہٕ
69,The hotel can accommodate upto 100 guests.,ہوٚٹلس منٛز ہٮ۪کن پٔژھۍ ہَتھ کھنٛڑ وٲتِتھ
70,These policies are designed to accomodate all classes.,یِم پالسی چھےٚ یِتھ کٔنٛی بناونٛہٕ آمژٕ زِ ہر کُنہِ طبقس یی مُروت کرنہٕ
71,Dinosaurs couldn`t accomodate to the changing environment.,ڈایناسور ہٮ۪ک نہ تبدیل شُدا ماحول حصابٕ رٗزِتھ
72,The banks accomodate poor farmers with loan.,بٮ۪نٛک چھِ غٔریٖب زٔمیٖن دارن لون دِتھ مَدت کَران
73,We found accomodation near the railway station itself.,اسہِ بَنٛیٚیہِ جاے ریلوے سٹیشنٛس نزدیٖکٕے
74,Polar bears are facing accomodation problems due to the global warming.,پولر بِیرَن چھِ گلوبل وارمِنٛگ کہِ وجہہ سۭتۍ رِہٲیشی مسٲیِل پیش یِوان
75,I accompanied her to the station.,بہٕ گوس تٔمِس سٹیشنس تانۍ سۭتۍ
76,The singer was accompanied by his friend.,موسیٖقی کارس دیُت پنٕنۍ دوستن ساتھ
77,We can collectively accomplish the task of nabbing the murderers.,أسۍ ہٮ۪کو اِکہٕ وَٹَے قٲتِل رٹنٕچ کٲم انٛجام دِتھ
78,She is an accomplished artist.,سۄ چھےٚ اَکھ ہِنر منٛد فنکار
79,Israel and Palestine signed a peace accord.,اِسرٲیلن تہٕ فلسطیٖنن چُھ أکِس امن کِس مُہادس پٮ۪ٹھ دستخت کوٚرمُت
80,His thoughts and actions do not accord.,تٔمۍ سٕنٛدۍ خیالات تہٕ عامال چھِ نہٕ رلان
81,Akbar was accorded this privilege.,اکبَرس اوس یہِ خٔصوٗصی مُفاد دِنہٕ آمُت
82,The rules are in accordance with the custom.,قوٲیِدن تہٕ رٮ۪واجن چُھ پانہٕ ؤنۍ ہِشر
83,The work was done according to his instructions.,کٲم آیہِ تٔمۍ سٕنٛدٮ۪ن ہِدایتن مُطٲبِق کرنہٕ
84,You must work accordingly to the rules.,ژےٚ پَزی قوٲیدن تحت کٲم کَرٕنۍ
85,I have an account in the Central bank.,مےٚ چُھ مرکٔزی بٮ۪نٛکس منٛز اکھ کھاتہٕ
86,He gave an account of his experience in trekking.,تٔمۍ دیُت ٹرٛیٚکِنٛگ منٛز پنٛنہِ تجرُبُک تفصیٖل
87,We could never account for this miscalculation.,أسۍ ہٮ۪کو نہٕ زانٛہہ تہِ تٔمۍ سٕنٛدِ غلط حسابُک شمار کٔرِتھ
88,A person is accounted minor until 18 years.,اکھ شخٕص چُھ اردَہن ؤرین تام نابالغ مانٛنہٕ یِوان
90,The lawyer questioned the accuracy of my account.,ؤکیٖلن تُل میٲنِس اکاونٛٹ کِس صداقتس پٮ۪ٹھ سوال
91,We can no more predict the changes with greater accuracy.,أسۍ ہیٚکو نہٕ زیادٕ دُرُستی سان تبدیٖلین ہِنٛز مزیٖد پیشن گویی کٔرِتھ۔
92,All his calculations are accurate.,تٔمۍ سُنٛد سورُے حِساب چُھ دُرُست
93,He didn't take the measurement accurately.,تٔمۍ تُل نہٕ میٖژ صحیٖح پٲٹھۍ۔
94,They will accuse us of incompetency.,تِم لاگن اسہِ نااہلیت آسنٕچ تۄہمت
95,The accused was acquitted of the charge.,مُلزِم آو اِزام نِش بٔری کرنہٕ
96,He quickly accustomed himself to this new way of life.,تٔمۍ کوٚر پنٛنہِ نَیہِ زنٛدگی ہِنٛدِس طریٖقس سۭتۍ پانس جلدی عادت۔
97,The child is accustomed of sleeping in his mother's lap.,بچہٕ چُھ ماجہِ ہِنٛزِ کھۄنہِ منٛز شۄنٛگنُک عٲدی۔
98,What an ace trainer he is.,سُہ کوتاہ بہتریٖن تربِیت دِنہٕ وول چُھ۔
99,Akram is an ace chess player of India.,شترنٛجَس منٛز چُھ اکرَم ہِنٛدُستانُک اَکھ مٲہِر کھلٲڑۍ
100,I aced my English test.,مےٚ کٔرۍ پنٛنِس انٛگریٖزۍ ہِنٛدِس اِمتِحانس منٛز اعلیٰ نمبرات حٲصِل۔
101,Anand is an ace chess player.,آنٛند چُھ شطرنٛجُک مٲہِر کِھلٲڈۍ
102,I am suffering from stomach ache since yesterday.,مےٚ چُھ راتہٕ پٮ۪ٹھٕ میٛادس دود
103,My heart aches on seeing her suffer.,مےٚٚ چُھ تٔمۍ سُنٛد تکلیٖف وٕچِھتھ دِلس دَگ وَتھان
104,She achieved her goal despite setbacks.,رُکاوٹَو باوجود تہِ گٔیہِ سۄ پنٛنِس مقصَدس منٛز کامیاب
105,I congratulate you for your achievement.,بہٕ چُھسَے ژےٚ چانہِ کامیٲبی خٲطرٕ مُبارک بٲدی پیش کَران
106,This bottle contains acid.,یتھ بوتلہِ منٛز چُھ تیزٕ
107,Irregular meals often release strong acid in the stomach.,باقٲیدٕگی سان کھٮ۪ن نَہ کھٮ۪نہٕ سۭتۍ چُھ میٛادس منٛز سٮ۪ٹھا ژۄکٮ۪ر پٲدٕ سپدان
109,Acquisition of langauage is innate in a child.,زبٲنۍ ہُنٛد ہیٚچُھن چُھ بچس منٛز فِطری آسان۔
110,The institute has been built on 35 acres of land.,یہِ اِدارٕ چُھ آمُت پانٛژ ایکَڑ زٔمیٖنس پٮ۪ٹھ بناونہٕ
111,We ran all across the fields to catch the hens.,کۄکر رٹنہٕ خٲطرٕ دورے أسۍ کھہَس اَپارِیَپور
112,I helped the old lady across the busy road.,مےٚ کوٚر بِرٕ واجنہِ سڑکہِ پیٚٹھ بٕجہِ زنانہِ اپارِ پیٚٹھٕ یپور ترنس منٛز مدد۔
113,We should be across the village by night.,أسۍ گژھو رٲژ تانۍ گامس اپارِ آسٕنۍ۔
115,The President`s address to the nation was broadcasted across the country.,صدر سُنٛد قومہٕ خٲطرٕ خٕطاب آو مُلکس منٛز ژۄپٲرۍ نشر کرنہٕ۔
116,My friend shouted from across the road.,میٛٲنی دوستن لٲج سڑکہِ اپارِ پٮ۪ٹھٕ کرٛٮ۪کھ
117,The baby kept on crawling across the floor.,بچہٕ روٗد پٔتھرِس انٛدٕ ونٛدٕ کھۄکٕھش کران۔
118,The student drew a line across the sheet.,طالبہِ عٔلمن بنٲو کاغزس اپارِ یَپور اکھ لٔکیٖر
119,He shall certainly act in the play.,سُہ کَرِ ڈرٛاماہَس منٛز ضٔروٗر اداکٲری
